paper_id,title,authors,year,venue,doi,abstract,keywords,source_db,export_file,is_preprint,version_group_id
dda3879586ff,Towards Quantum Advantage in Financial Market Risk using Quantum Gradient Algorithms,N. Stamatopoulos; G. Mazzola; Stefan Woerner; W. Zeng,2021,Quantum,10.22331/q-2022-07-20-770,"We introduce a quantum algorithm to compute the market risk of financial derivatives. Previous work has shown that quantum amplitude estimation can accelerate derivative pricing quadratically in the target error and we extend this to a quadratic error scaling advantage in market risk computation. We show that employing quantum gradient estimation algorithms can deliver a further quadratic advantage in the number of the associated market sensitivities, usually called greeks. By numerically simulating the quantum gradient estimation algorithms on financial derivatives of practical interest, we demonstrate that not only can we successfully estimate the greeks in the examples studied, but that the resource requirements can be significantly lower in practice than what is expected by theoretical complexity bounds. This additional advantage in the computation of financial market risk lowers the estimated logical clock rate required for financial quantum advantage from Chakrabarti et al. [Quantum 5, 463 (2021)] by a factor of ~7, from 50MHz to 7MHz, even for a modest number of greeks by industry standards (four). Moreover, we show that if we have access to enough resources, the quantum algorithm can be parallelized across 60 QPUs, in which case the logical clock rate of each device required to achieve the same overall runtime as the serial execution would be ~100kHz. Throughout this work, we summarize and compare several different combinations of quantum and classical approaches that could be used for computing the market risk of financial derivatives.",Computer Science; Physics; Economics; Physics; Computer Science,semantic_scholar,api_search_semantic_scholar.json,0,
b42fac5de917,Multi-Agent Large Language Models for Traditional Finance and Decentralized Finance,Antio De La Cruz,2025,Journal of Industrial Engineering and Applied Science,10.70393/6a69656173.323634,"This paper investigates the application of multi-agent large language models (LLMs) in traditional finance (TradFi) and decentralized finance (DeFi), with a focus on addressing challenges such as inefficiencies, security vulnerabilities, and regulatory requirements. We propose a conceptual framework for implementing multi-agent LLMs, which combines the advanced reasoning and language capabilities of LLMs with the collaborative nature of multi-agent systems. Through detailed case studies, we demonstrate the effectiveness of this framework in portfolio management, fraud detection, smart contract optimization, and regulatory compliance. Empirical data from these case studies show significant improvements in performance metrics such as accuracy, speed, and cost efficiency compared to traditional approaches. For instance, in portfolio management, multi-agent LLMs achieved a 3.8% increase in average returns and a 0.6 improvement in the Sharpe ratio. In DeFi, smart contract optimization reduced vulnerabilities by 66%, while decentralized lending protocols saw a 17% increase in liquidity utilization. This paper concludes with recommendations on how to improve effectiveness of LLMs and outlines future research directions, including the integration of quantum computing and the development of explainable AI techniques.",Computer Science; Business; Economics,semantic_scholar,api_search_semantic_scholar.json,0,
e8235233a1dc,Software for Creating Scalable Benchmarks from Quantum Algorithms,Noah Siekierski; Stefan K. Seritan; Neer Patel; Siyuan Niu; Thomas Lubinski; Timothy Proctor,2025,,,"Creating scalable, reliable, and well-motivated benchmarks for quantum computers is challenging: straightforward approaches to benchmarking suffer from exponential scaling, are insensitive to important errors, or use poorly-motivated performance metrics. Furthermore, curated benchmarking suites cannot include every interesting quantum circuit or algorithm, which necessitates a tool that enables the easy creation of new benchmarks. In this work, we introduce a software tool for creating scalable and reliable benchmarks that measure a well-motivated performance metric (process fidelity) from user-chosen quantum circuits and algorithms. Our software, called $\texttt{scarab}$, enables the creation of efficient and robust benchmarks even from circuits containing thousands or millions of qubits, by employing efficient fidelity estimation techniques, including mirror circuit fidelity estimation and subcircuit volumetric benchmarking. $\texttt{scarab}$ provides a simple interface that enables the creation of reliable benchmarks by users who are not experts in the theory of quantum computer benchmarking or noise. We demonstrate the flexibility and power of $\texttt{scarab}$ by using it to turn existing inefficient benchmarks into efficient benchmarks, to create benchmarks that interrogate hardware and algorithmic trade-offs in Hamiltonian simulation, to quantify the in-situ efficacy of approximate circuit compilation, and to create benchmarks that use subcircuits to measure progress towards executing a circuit of interest.",Physics; Computer Science; Physics,semantic_scholar,api_search_semantic_scholar.json,0,
337bf4092fbc,A Quantum Walk Model of Financial Options,,2020,Wilmott Magazine,10.2139/ssrn.3512481,"Financial markets are often modeled using a random walk, for example in the binomial option pricing model which is a discrete version of the Black-Scholes formula. This paper presents an alternative approach to option pricing based on a quantum walk model. The quantum walk, which incorporates superposition states and allows for effects such as interference, was originally developed in physics, but has also seen application in areas such as cognitive psychology, where it is used to model dynamic decision-making processes. It is shown here that the quantum walk model captures key aspects of investor behavior, while the collapsed state captures the observed behavior of markets. The resulting option price model agrees quite closely with the classical random walk model, but helps to explain some observed anomalies. The method also has the advantage that it can be run directly on a quantum computer.",Physics,semantic_scholar,api_search_semantic_scholar.json,0,
1a0d37057236,IQNN-CS: Interpretable Quantum Neural Network for Credit Scoring,Abdul Samad Khan; Nouhaila Innan; A. Khalique; Muhammad Shafique,2025,arXiv.org,10.1007/978-3-032-13855-2_8,"Credit scoring is a high-stakes task in financial services, where model decisions directly impact individuals'access to credit and are subject to strict regulatory scrutiny. While Quantum Machine Learning (QML) offers new computational capabilities, its black-box nature poses challenges for adoption in domains that demand transparency and trust. In this work, we present IQNN-CS, an interpretable quantum neural network framework designed for multiclass credit risk classification. The architecture combines a variational QNN with a suite of post-hoc explanation techniques tailored for structured data. To address the lack of structured interpretability in QML, we introduce Inter-Class Attribution Alignment (ICAA), a novel metric that quantifies attribution divergence across predicted classes, revealing how the model distinguishes between credit risk categories. Evaluated on two real-world credit datasets, IQNN-CS demonstrates stable training dynamics, competitive predictive performance, and enhanced interpretability. Our results highlight a practical path toward transparent and accountable QML models for financial decision-making.",Computer Science; Physics; Computer Science,semantic_scholar,api_search_semantic_scholar.json,1,
109c9406f3df,"Quantum Graph Neural Networks for Portfolio Optimization in Complex Financial Markets, A Novel Approach",Hasan Mustafa; Prateek Jain,2024,2024 International Conference on Trends in Quantum Computing and Emerging Business Technologies,10.1109/TQCEBT59414.2024.10545170,"Quantum machine learning is an emerging field, combining ideas from quantum computing and machine learning. In this paper we propose a novel quantum graph neural network for modelling financial time series. We demonstrate a proof of concept model implemented in pytorch-geometric and pennylane and benchmark the results on the Cora dataset. Further, we apply the model to financial time series data(NIFTY50) where we predict the movement of stock prices.",Computer Science; Physics; Business,semantic_scholar,api_search_semantic_scholar.json,0,
9be7c1fe15c2,Advancing Stock Price Prediction and Algorithmic Trading: Quantum Machine Learning for High-Frequency Optimization,Sharmila C; Sivaraju S.S.; A. T; S. S; S. S.; S. A,2026,International Research Journal of Multidisciplinary Technovation,10.54392/irjmt26114,"Quantum Machine Learning (QML) prediction of stock values is on the verge of changing the financial market and particularly enhancing HFT techniques. This is an attempt at quantum computing-machine learning hybrid aimed at enhancing the accuracy and efficiency of trading decisions. The historical machine learning-based stock price prediction models are incapable of processing large volumes of data, executing trades faster, and modeling complex market dynamics in real-time. The challenges result in ineffective trading decisions and trade lags at high frequencies. These problems are solved by HFT Optimization and Quantum Machine Learning. Because quantum computing capability is processing large amounts of data simultaneously, the proposed architecture enhances prediction accuracy and speed while reducing latency of decision-making. Quantum Neural Networks (QNNs) and quantum-optimized algorithms are useful to boost the modeling of market behavior. This technology will enhance stock price forecasting and optimization of trading strategies, which increases profit and minimize risk. Initial evidence indicates that quantum-based HFT systems are faster in execution speed and market flexibility than conventional techniques, which is essential to the future of automated trading.",Computer Science; Physics,semantic_scholar,api_search_semantic_scholar.json,0,
3f1fa2c6191f,Exploring the Influence of Market Trends on the Evolution of Digital Payments: A Comprehensive Qualitative Study of Fintech Expert Insights and Existing Research,Pritam Bhattacherjee,2024,International Journal For Multidisciplinary Research,10.36948/ijfmr.2024.v06i05.28288,"This study, titled ""Exploring the Influence of Market Trends on the Evolution of Digital Payments: The paper entitled “A Comprehensive Qualitative Study of Fintech Expert Insights and Existing Research” examines the effects of Artificial Intelligence and Cryptocurrencies on Digital Payment Systems. Based on the analysis of the identified themes, personalization has a positive impact on perceived usefulness through provision of customized services and easy cross border transfer of funds. Some of the features that have been incorporated in these systems include integrated savings and automated features which enhance the value of these systems. The following are the improvements in the areas of security and trust, fraud detection, and accessibility features. This work also discusses the concept of trialability in the technology adoption process, and barriers that exist in the form of technological constraints, data privacy concerns, and consumer awareness. Emerging technologies such as quantum computing, voice recognition, and the integration of the IoT will continue to revolutionise the future of digital payments and make it faster, safer and more individualistic. Meta-analysis supports the view that technology literacy is an essential factor influencing user comfort and acceptance, whereas cryptocurrencies and Artificial Intelligence represent drivers of strategic progress in payment systems with risks connected to legal issues and privacy being the barriers to further development.",Computer Science; Business; Economics,semantic_scholar,api_search_semantic_scholar.json,0,
084ef0fa0219,Explainable Hybrid Quantum–Classical Models for Student and Employee Dropout Prediction: A Comparative Analysis,Rajesh Malick; Murugasamy P; A. R,2025,"2025 4th International Conference on Automation, Computing and Renewable Systems (ICACRS)",10.1109/ICACRS67045.2025.11324437,"High dropout and attrition rates among students and employees present critical challenges for educational institutions and corporations, with significant financial and social implications. Traditional machine learning approaches often struggle with imbalanced, high-dimensional data and frequently lack the interpretability necessary for actionable decision-making. This paper presents a comprehensive empirical comparison of hybrid quantum–classical machine learning models against state-of-the-art classical methods for dropout prediction across two distinct real-world domains: academic student performance and corporate employee attrition. We implement a Variational Quantum Classifier (VQC) in PennyLane and benchmark it against Random Forest, XGBoost, and BiLSTM-CNN using identical preprocessing protocols on academic (480 samples) and corporate (1,470 samples) datasets. Results demonstrate problem-dependent quantum advantage: BiLSTM-CNN achieves highest performance on student data (F1: 0.81 vs. VQC’s 0.75), while the tuned VQC outperforms classical methods on employee data (F1: 0.51 vs. BiLSTM-CNN’s 0.48). Integration of SHAP-based explainability enables transparent feature attribution and personalized intervention generation. This work contributes the first systematic empirical benchmark of quantum machine learning for dropout prediction and demonstrates that quantum advantage in the NISQ era is highly problem-dependent rather than universal.",Computer Science; Physics; Education,semantic_scholar,api_search_semantic_scholar.json,0,
e4fac63c2283,Introduction to Digital Policy Studies,Bhaso Ndzendze,2022,Digital Policy Studies,10.36615/dps.v1i1.1250,"All over the world, governments, intergovernmental organisations, citizens and businesses are simultaneously driving, coping with and grasping the reality of digitalisation. They have promulgated new legislation, published plans, and put out strategies to pursue their brand of accelerated or perpetual development with the aid of electronic equipment and software for communications and cyber-physical execution. These entities have also used technologies to regulate, circumvent and/or contest one another. In the wake of these realities, new concepts have been introduced in the literature and the practitioner’s manuals and the citizen’s everyday lexicon. From agriculture to banking, culture, diplomacy, electric grids, finance, governance, human rights, international trade, and journalism, technologies are pushing the frontier of what was previously possible. With new capabilities and the proliferation of technologies such as artificial intelligence, big data, blockchain, and quantum computing, the process is receiving a significant jolt. Importantly, however, the benefits (convenient and efficient access to goods, services, information and ideas) are not even or universal. Neither are the side effects (climate change, exclusion, and e-waste, among others). Geographical, economic, and other realities reinforce old divides and give rise to new ones. But there are also instances of the gap being closed.",Political Science; Computer Science,semantic_scholar,api_search_semantic_scholar.json,0,
