paper_id,title,human_decision,ai_decision,ai_confidence,discrepancy_type,re_review_decision,notes
48b6b297cda4,"Finance Reenvisioned: The AI Impact on Cryptocurrencies, FinTech, and Economic Futures",exclude,exclude,0.8600,agree_exclude,exclude,auto: both agree exclude
3d6d6393f792,A Comparison on Constrain Encoding Methods for Quantum Approximate Optimization Algorithm,include,include,0.8700,agree_include,include,auto: both agree include
1760158c7e1b,Option Pricing using Quantum Computers,include,include,0.9300,agree_include,include,auto: both agree include
c7adafc69b75,Fintech's Role in Automating Taxation and Compliance,exclude,exclude,0.8200,agree_exclude,exclude,auto: both agree exclude
6b2b4f6ba298,"&lt;div&gt; Multiplicative-Weights Methods and Gibbs-State Preparation for Conic Portfolio Optimization:&amp;nbsp;&lt;/div&gt;&lt;div&gt; A Mathematical Framework Connecting Quantum Algorithms, Jordan Algebras, and Quantitative Finance&lt;/div&gt;",exclude,include,0.6500,ai_rescue,include,auto: AI rescue accepted - finance + gate-based (conf=0.65)
323683ff9874,Time Series Forecasting Using Quantum Machine Learning Algorithms,include,exclude,0.8000,human_only,include,"auto: human include confirmed (AI conf=0.80, reason=EX-TOOSHORT)"
8ec2f4030249,Hybrid ARMA-GARCH-Neural Networks for intraday strategy exploration in high-frequency trading,exclude,exclude,0.9000,agree_exclude,exclude,auto: both agree exclude
47688b4abd0b,Quantum Bayesian Networks for Machine Learning in Oil-Spill Detection,exclude,exclude,0.9100,agree_exclude,exclude,auto: both agree exclude
31ed6a5ae697,"Quantum Technology, Big Tech, and Shifting Structural Power in the International System",exclude,exclude,0.9000,agree_exclude,exclude,auto: both agree exclude
f5b1f05fe558,Portfolio Optimization of 40 Stocks Using the DWave Quantum Annealer,exclude,exclude,0.9300,agree_exclude,exclude,auto: both agree exclude
352499d09cdb,"The Physics of Survival: Fisher Blindness, Rank Collapse, and the Necessity of Basis Rotation in Complex Systems",exclude,exclude,0.9000,agree_exclude,exclude,auto: both agree exclude
