paper_id,title,human_decision,ai_decision,ai_confidence,audit_decision,audit_notes
2d5f94dd1c2e,AI IN DRUG DISCOVERY,exclude,exclude,0.9500,,
8273e177c43d,How to Create Business Value Through Technological Innovations Using ICCT Underlying Technologies,exclude,exclude,0.8600,,
1ec8fb7a4c71,Message-passing algorithm of quantum annealing with nonstoquastic Hamiltonian,exclude,exclude,0.9000,,
f80fc2ca086c,Deep-neural-network approach to solving the ab initio nuclear structure problem,exclude,exclude,0.9800,,
b9148d174e78,Managing extreme cryptocurrency volatility in algorithmic trading: EGARCH via genetic algorithms and neural networks,exclude,exclude,0.9000,,
01f43d9373ad,Artificial Intelligence in Physics Education: Transforming Learning from Primary to University Level,exclude,exclude,0.9200,,
bd68e7728682,Segment Routing with Digital Annealing,exclude,exclude,0.9000,,
7828e4360947,Final Conclusions and Further Developments,exclude,exclude,0.9000,,
5c5d7908f14e,Assessing the Effectiveness of Machine Learning in Enhancing Quantum Approximate Optimization Algorithm Performance,exclude,exclude,0.8600,,
70caeafa97f1,Improving Petroleum Real Options Calculation by the Application of Quantum Artificial Intelligence.,exclude,exclude,0.7200,,
b8689579f4e9,Multiclass Classification of Hyperspectral Remote sensed Data using QSVC,exclude,exclude,0.9000,,
ccd91976053c,"The Future of AI, Quantum Computing, Blockchain, and Reinforcement Learning: A Comprehensive Overview with Critiques and Future Strategies",exclude,exclude,0.8000,,
337857fcde38,ETHICS IN INFORMATION MANAGEMENT: PERSONAL DATA PROTECTION,exclude,exclude,0.8600,,
639a7acc8bbc,Quantum - Safe Cryptography: Exploring the Future of Cybersecurity in the Post - Quantum Era,exclude,exclude,0.8500,,
fadb5f562d52,The Synergy of DARQ Technologies: Integration and Future Prospects,exclude,exclude,0.7500,,
4703fc56274e,An Outlook on Universal Quantum Computers,exclude,exclude,0.8500,,
ca28f770241d,Features of financial management of the media industry in modern conditions,exclude,exclude,0.9000,,
943cde79267f,Adiabatic Quantum Computing and Quantum Annealing,exclude,exclude,0.9000,,
41fa81f13cbc,Quantum Computing for Finance,exclude,exclude,0.8000,,
c016adcb67eb,Towards emerging technologies and e-government,exclude,exclude,0.9000,,
37afed13f605,Strategic Financial Governance for Enterprise-Wide Quantum-Safe and AI-Driven Security Architecture Transformation Programs,exclude,exclude,0.9200,,
eff6941ff4bf,China’s Digital Silk Road and Africa’s Technological Future,exclude,exclude,0.9200,,
cef74a3d2c40,15.6 e-Chimera: A Scalable SRAM-Based Ising Macro with Enhanced-Chimera Topology for Solving Combinatorial Optimization Problems Within Memory,exclude,exclude,0.9200,,
b5d50825c611,Quantum Computing for Financial Risk Measurement: An Indian Perspective,exclude,exclude,0.8500,,
4edfba7fe2dd,AI and Quantum Computing: The Future of Financial Modeling and Risk Assessment,exclude,exclude,0.7800,,
0d9a52ea89bb,Index,exclude,exclude,0.9500,,
064c07cd920d,The Meaning of the Ark of the Covenant through the Logos Heuristics,exclude,exclude,0.9800,,
a968217dd8e0,Frontiers in Complex Systems,exclude,exclude,0.8500,,
1364a8bd9dd5,"Quantum Leap in Finance: Economic Advantages, Security, and Post-Quantum Readiness",exclude,exclude,0.8800,,
351b5122b08d,Post-Quantum AI-Driven Cryptographic Key Management for Financial Anomaly Detection,exclude,exclude,0.7200,,
8f3a07d3b0be,Constraint-Oriented Biased Quantum Search,exclude,exclude,0.8000,,
23dfc04a7391,Advancing AI: A Comprehensive Study of Novel Machine Learning Architectures,exclude,exclude,0.8500,,
8753098d5ea3,Federated Learning Architectures for Privacy-Preserving Collaborative Intelligence in Distributed Networks,exclude,exclude,0.9200,,
3c2e6ded5224,Longevity risk and capital markets: the 2022–2023 update,exclude,exclude,0.8000,,
13cafedeef93,GEO: Enhancing Combinatorial Optimization with Classical and Quantum Generative Models,exclude,exclude,0.9200,,
19854a75d4cb,Architecture of Quantum Neural Networks: Design and Implementation,exclude,exclude,0.8000,,
5ce743f32591,Quantum Startups: Challenges in Deep-Tech Commercialization,exclude,exclude,0.9200,,
1c7dd54f9ddb,Time Synchronization in Communication Networks: A Comparative Study of Quantum Technologies,exclude,exclude,0.9200,,
bd27dbccdec7,"2022 Design, Automation and Test in Europe Conference and Exhibition, DATE 2022",exclude,exclude,0.9000,,
0955776ff753,IEEE Congress on Evolutionary Computation,exclude,exclude,0.9000,,
9c6fbe67140b,Advancing Cybersecurity for Digital Transformation,exclude,exclude,0.9000,,
7eb531f4a7ac,CRYPTOGRAPHIC FOUNDATIONS FOR BLOCKCHAIN SECURITY IN DECENTRALIZED NETWORKS,exclude,exclude,0.9000,,
7d62a33fcd41,Kuwait + D10Z: $800 Billion Is Not a Strategy — Connecting $800 Billion to the Right Infrastructure Is — Kuwait as the Capital Institutional Anchor of the GCC Sovereign Compute Network,exclude,exclude,0.9200,,
f117a2707092,Construction of Innovation and Entrepreneurship Ecological Environment of Scientific and Technological Talents in Liaoning Province,exclude,exclude,0.9200,,
08ae4697db36,Promises and Perils of Post-Quantum Blockchain,exclude,exclude,0.8200,,
70c24af033e9,Quantum computing meets cloud AI: A new era of intelligent computing,exclude,exclude,0.8500,,
3d40d1ea8694,An Innovative Dual-Layer RSA Encryption Model with Merkle Trees for Quantum Resistance and Data Integrity Protection,exclude,exclude,0.9200,,
345a395b7e1d,FUTURISTIC TRENDS IN AI,exclude,exclude,0.8500,,
18576953500c,European Quantum Ecosystems -- Preparing the Industry for the Quantum Security and Communications Revolution,exclude,exclude,0.9200,,
27034900f5a5,Quantum Computing: Revolutionizing Advanced Risk Management Systems,exclude,exclude,0.8600,,
cfcb7257de94,Floating block method for quantum Monte Carlo simulations,exclude,exclude,0.9500,,
e531d7ff950d,Wavelet correlation noise analysis for qubit operation variable time series,exclude,exclude,0.9200,,
5718b4ee2a8f,QNN Learning Algorithm to Diversify the Framework in Deep Learning,exclude,exclude,0.8600,,
ef1b792b3dae,"ADVANCING ARTIFICIAL INTELLIGENCE: AN IN-DEPTH LOOK AT MACHINE LEARNING AND DEEP LEARNING ARCHITECTURES, METHODOLOGIES, APPLICATIONS, AND FUTURE TRENDS",exclude,exclude,0.8200,,
73d5e60d695c,COMPUTER TECHNOLOGY,exclude,exclude,0.9500,,
00b878c40b7a,"Erratum regarding missing Declaration of Competing Interest statements in previously published articles – Part 3 (World Patent Information (2020) 62, (S0172219020300764), (10.1016/j.wpi.2020.101984))",exclude,exclude,0.9500,,
fcc3e3efef2d,Quantum machine learning: A comprehensive review of integrating AI with quantum computing for computational advancements,exclude,exclude,0.8500,,
047aa83a75f9,"Mapping the quantum computing landscape: growth, collaboration, and thematic convergence",exclude,exclude,0.9000,,
42dc80f639f8,Cyber Crime Attack Vulnerability Review for Quantum Computing,exclude,exclude,0.9200,,
f090b29a4ab3,"The Confluence of Pure, Discrete, and Applied Mathematics: Foundations and Applications",exclude,exclude,0.8500,,
268c8608d394,Implementation of a hole spin qubit in Ge hut wires and dispersive spin sensing,exclude,exclude,0.9200,,
