paper_id,title,final_decision,primary_topics,secondary_topics,emergent_topics,application_area,method_family,evaluation_type,llm_confidence,llm_rationale,review_status,review_notes
970f45895147,Empirical Analysis of Classical and Quantum Algorithms for Portfolio Optimization: Enhancing Financial Decision-Making Through Quantum Computing,include,"[""portfolio_optimization""]","[""optimization_methods""]",[],portfolio management using quantum computing,qaoa_or_optimization,simulator,0.9600,"The paper empirically compares QAOA, VQE, and classical algorithms for portfolio optimization, showing quantum advantage in financial decision‐making.",draft_llm,
c8872ea43678,Quantum Machine Learning for Pattern Recognition in Financial Fraud Detection,include,"[""fraud_and_detection""]","[""quantum_ml_for_finance""]",[],financial fraud detection using quantum machine learning,quantum_ml,benchmark_comparison,0.9600,"The paper applies quantum machine learning classifiers (QSVM, VQC) to financial fraud detection and benchmarks their performance against classical methods.",draft_llm,
6dde72dee12e,A Hybrid Quantum-Classical Framework for Financial Volatility Forecasting Based on Quantum Circuit Born Machines,include,"[""forecasting_and_prediction""]","[""risk_management"", ""quantum_ml_for_finance""]",[],financial market volatility forecasting for stock indices,variational_or_vqe,simulator,0.9600,"The paper presents a hybrid quantum-classical variational circuit model for forecasting financial volatility, evaluated on real market data via simulation.",draft_llm,
c7df20032013,Quantum Deep Hedging,include,"[""risk_management""]","[""quantum_ml_for_finance""]",[],hedging in financial markets,quantum_ml,real_hardware,0.9500,"This paper uses quantum reinforcement learning for hedging, a risk management task, with quantum neural networks implemented on real hardware.",draft_llm,
96baad0b46a9,Quantum computational finance: Monte Carlo pricing of financial derivatives,include,"[""derivative_pricing""]","[""simulation_and_monte_carlo"", ""benchmarking_and_advantage""]",[],pricing of financial derivatives,amplitude_estimation,analytical,0.9500,The paper proposes and analyzes a quantum amplitude estimation algorithm for Monte Carlo derivative pricing demonstrating quadratic speedup.,draft_llm,
4569d0df52ed,Pricing Financial Derivatives with Exponential Quantum Speedup,include,"[""derivative_pricing""]","[""benchmarking_and_advantage""]",[],European-style option pricing via Black-Scholes PDE mapped to Schrödinger equation,other_gate_based,analytical,0.9500,Presents a Hamiltonian simulation algorithm for derivative pricing with proven exponential speedup.,draft_llm,
a9fb068595f2,Call Option Pricing Using Quantum Amplitude Estimation: A Comparative Study with Monte Carlo Simulation,include,"[""derivative_pricing""]","[""benchmarking_and_advantage""]",[],European call option pricing,amplitude_estimation,benchmark_comparison,0.9500,Implements and benchmarks quantum amplitude estimation for European call option pricing against Monte Carlo and analytical models.,draft_llm,
6bcd17241b59,NISQ-HHL: Portfolio Optimization for Near-Term Quantum Hardware,include,"[""portfolio_optimization""]","[""optimization_methods""]",[],mean-variance portfolio optimization,linear_systems_or_hhl,real_hardware,0.9500,This work proposes a hybrid HHL-based algorithm for mean-variance portfolio optimization and demonstrates its execution on real NISQ hardware.,draft_llm,
89418437f51c,Quantum-Enhanced Forecasting: Leveraging Quantum Gramian Angular Field and CNNs for Stock Return Predictions,include,"[""forecasting_and_prediction""]","[""quantum_ml_for_finance""]",[],stock return time series forecasting,quantum_ml,simulator,0.9500,"The paper develops a quantum-enhanced time series forecasting method using quantum feature mapping and CNNs for stock returns, evaluated via simulation.",draft_llm,
41d2d7bb257a,Enhancing Credit Risk Prediction Through Co-Trained Hybrid Quantum Transfer Learning Model,include,"[""credit_and_lending""]","[""quantum_ml_for_finance""]",[],credit risk prediction,variational_or_vqe,simulator,0.9500,The paper presents a hybrid quantum-classical variational transfer learning model for credit risk classification evaluated on a real dataset via simulation.,draft_llm,
1bf880322e6f,Quantum Speedups for Derivative Pricing Beyond Black-Scholes,include,"[""derivative_pricing""]","[""simulation_and_monte_carlo""]",[],quantum algorithms for exotic derivative pricing under CIR and Heston models,amplitude_estimation,analytical,0.9500,The paper focuses on quantum Monte Carlo speedups via amplitude estimation for exotic derivative pricing beyond Black-Scholes.,draft_llm,
8c9ba2aeaa90,Variational Quantum Eigensolver for Real-World Finance: Scalable Solutions for Dynamic Portfolio Optimization Problems,include,"[""portfolio_optimization""]","[""optimization_methods""]",[],dynamic portfolio optimization for financial assets,variational_or_vqe,real_hardware,0.9500,The paper applies a variational VQE method to a dynamic portfolio optimization problem and validates results on real quantum hardware.,draft_llm,
3f4c5ad6749d,Quantum unary approach to option pricing,include,"[""derivative_pricing""]","[""simulation_and_monte_carlo""]",[],European option pricing using unary representation,amplitude_estimation,benchmark_comparison,0.9500,Proposes and compares a unary-based quantum algorithm for European option pricing using amplitude amplification against binary approaches.,draft_llm,
1bad58b8e8e7,Empirical Evaluation of QAOA with Zero Noise Extrapolation on NISQ Hardware for Carbon Credit Portfolio Optimization in the Brazilian Cerrado,include,"[""portfolio_optimization""]","[""optimization_methods""]",[],carbon credit portfolio optimization for environmental conservation in Brazilian Cerrado,qaoa_or_optimization,real_hardware,0.9500,The paper empirically applies QAOA with noise mitigation to a carbon credit portfolio optimization problem on real quantum hardware.,draft_llm,
7e636e790901,Efficient DCQO Algorithm within the Impulse Regime for Portfolio Optimization,include,"[""portfolio_optimization""]","[""optimization_methods"", ""benchmarking_and_advantage""]",[],20-asset portfolio optimization,qaoa_or_optimization,real_hardware,0.9500,Proposes and benchmarks a digital counterdiabatic quantum optimization algorithm for portfolio optimization on real quantum hardware.,draft_llm,
