paper_id,title,abstract,doi,label_included
48b6b297cda4,"Finance Reenvisioned: The AI Impact on Cryptocurrencies, FinTech, and Economic Futures","Abstract: Finance Reenvisioned: The AI Impact on Cryptocurrencies, FinTech, and Economic Futures synthesises a wide-ranging body of research to articulate an integrated agenda for AI-enabled finance. The book first develops rigorous theoretical foundations for financial AI by drawing on statistical learning theory, control theory, and statistical and topological field frameworks for deep architectures, thereby clarifying how model design, evaluation, and scaling laws should be adapted for high-stakes financial and crypto-economic applications. It then examines quantum-safe and quantum-enhanced infrastructures, including post-quantum cryptography, quantum-inspired optimisation, and quantum machine learning, as the emerging security and performance backbone of digital currencies and payment systems. Methodological advances in causal, streaming, and digital twin analytics are brought together as a toolkit for AI-driven FinTech innovation and prudential risk management, spanning large-scale experimentation, real-time inference, and physics-informed modelling. These tools are applied to ESG-oriented real estate and infrastructure finance, where AI, climate science, and corporate governance interact to reprice risk and value. Finally, the book situates AI-enabled finance within a broader governance and socio-economic context, engaging with ethical AI governance, cyberlaw, blockchain-based legal architectures, public policy implementation, and geo-economic power shifts. Across these subthemes, Finance Reenvisioned argues that the trajectory of AI in cryptocurrencies, FinTech, and macro-finance is not technologically predetermined but contingent on design choices, regulatory architectures, and societal values. Keywords Artificial intelligence; Cryptocurrencies; FinTech; Quantum-safe finance; Causal inference; Digital twins; ESG and climate finance; Financial regulation; Economic futures; Governance.",10.62311/nesx/rb-978-81-972314-8-3,0
3d6d6393f792,A comparison on constrain encoding methods for quantum approximate optimization algorithm,"The Quantum Approximate Optimization Algorithm (QAOA) represents a significant opportunity for practical quantum computing applications, particularly in the era before error correction is fully realized. This algorithm is especially relevant for addressing constraint satisfaction problems (CSPs), which are critical in various fields such as supply chain management, energy distribution, and financial modeling. In our study, we conduct a numerical comparison of three different strategies for incorporating linear constraints into QAOA: transforming them into an unconstrained format, introducing penalty dephasing, and utilizing the quantum Zeno effect. We assess the efficiency and effectiveness of these methods using the knapsack problem as a case study. Our findings provide insights into the potential applicability of different encoding methods for various use cases.",,1
1760158c7e1b,Option Pricing using Quantum Computers,"We present a methodology to price options and portfolios of options on a gate-based quantum computer using amplitude estimation, an algorithm which provides a quadratic speedup compared to classical Monte Carlo methods. The options that we cover include vanilla options, multi-asset options and path-dependent options such as barrier options. We put an emphasis on the implementation of the quantum circuits required to build the input states and operators needed by amplitude estimation to price the different option types. Additionally, we show simulation results to highlight how the circuits that we implement price the different option contracts. Finally, we examine the performance of option pricing circuits on quantum hardware using the IBM Q Tokyo quantum device. We employ a simple, yet effective, error mitigation scheme that allows us to significantly reduce the errors arising from noisy two-qubit gates.",10.22331/q-2020-07-06-291,1
c7adafc69b75,Fintech's Role in Automating Taxation and Compliance,"FinTech is transforming taxation and compliance by automating processes, improving efficiency, and enhancing regulatory oversight. This research explores how AI, blockchain, quantum computing, and cloud-based solutions streamline tax administration, reduce fraud, and improve financial inclusion. While automation has increased accuracy and reduced costs, challenges such as cybersecurity risks, data privacy concerns, and inconsistent global regulations remain. The study recommends stronger collaboration between regulators and FinTech providers, the adoption of scalable solutions by businesses, and a focus on cost-effective, user-friendly innovations by FinTech developers. Ultimately, FinTech has the potential to modernize tax compliance, but further research is needed to address regulatory gaps and ensure widespread accessibility.",10.36948/ijfmr.2025.v07i03.44419,0
6b2b4f6ba298,"&lt;div&gt; Multiplicative-Weights Methods and Gibbs-State Preparation for Conic Portfolio Optimization:&amp;nbsp;&lt;/div&gt;&lt;div&gt; A Mathematical Framework Connecting Quantum Algorithms, Jordan Algebras, and Quantitative Finance&lt;/div&gt;",,10.2139/ssrn.6103666,0
323683ff9874,Time Series Forecasting Using Quantum Machine Learning Algorithms,,10.1007/978-981-97-6957-5_16,1
8ec2f4030249,Hybrid ARMA-GARCH-Neural Networks for intraday strategy exploration in high-frequency trading,,10.1016/j.patcog.2023.110139,0
31ed6a5ae697,"Quantum Technology, Big Tech, and Shifting Structural Power in the International System","This thesis examines how quantum computing technology serves as a catalyst for fundamental shifts in structural power within the international system, particularly through the divergent innovation strategies of the United States and China. As quantum technologies advance toward breaking current encryption methods and enabling revolutionary capabilities in sensing and communications, the question of who controls these innovations becomes critical to understanding future power dynamics. The analysis reveals two contrasting approaches to quantum technology development. China has adopted a centralized, state-driven model, forcing its Big Tech firms to relinquish quantum research control and consolidating efforts through institutions like the Anhui Quantum Computing Engineering Research Center. This approach has enabled China to lead in quantum communications, establishing a 12,000-kilometer quantum network and launching quantum key distribution satellites. Conversely, the United States has delegated quantum innovation to private corporations, with firms like IBM, Microsoft, Amazon, and Alphabet emerging as primary developers. This market-based approach has produced advantages in quantum computing research but has simultaneously transferred unprecedented power to these corporations. Drawing on theories of technoscience rent, digital sovereignty, and structural power, this thesis argues that the U.S. delegation strategy has allowed Big Tech firms to accumulate power across all four dimensions of Susan Strange's structural power framework: security, finance, production, and knowledge. Through their control of technological infrastructure, data sovereignty, and platform power exercised via algorithmic governance, these firms now function as quasi-sovereign entities capable of constraining state foreign policy decisions. The advent of quantum computing threatens to cement this power consolidation, as firms control both the technologies necessary to break current encryption and the quantum-resistant solutions required for future security. The theoretical framework integrates concepts from quantum mechanics—particularly entanglement, uncertainty, and superposition—to reconceptualize power relationships in the international system. This quantum approach reveals how Big Tech's control over critical infrastructure creates dependencies that transcend traditional territorial sovereignty, establishing what can be termed ""digital sovereignty"" that operates independently of geographic boundaries. The implications are profound: states that have delegated innovation to firms face growing vulnerabilities as these corporations gain leverage over national security, economic infrastructure, and global communications. China's preemptive measures to prevent Big Tech dominance in quantum technology suggest recognition of these risks. This research contributes to international relations theory by demonstrating how technological infrastructure control by non-state actors fundamentally challenges state-centric paradigms and necessitates new frameworks for understanding power, sovereignty, and security in the quantum era.",10.6082/uchicago.16699,0
346b80c33fe2,Quantum Computing and Cybersecurity Education: A Novel Curriculum for Enhancing Graduate STEM Learning,"Quantum computing is an emerging paradigm with the potential to transform numerous application areas by addressing problems considered intractable in the classical domain. However, its integration into cyberspace introduces significant security and privacy challenges. The exponential rise in cyber attacks, further complicated by quantum capabilities, poses serious risks to financial systems and national security. The scope of quantum threats extends beyond traditional software, operating system, and network vulnerabilities, necessitating a shift in cybersecurity education. Traditional cybersecurity education, often reliant on didactic methods, lacks hands on, student centered learning experiences necessary to prepare students for these evolving challenges. There is an urgent need for curricula that address both classical and quantum security threats through experiential learning. In this work, we present the design and evaluation of EE 597: Introduction to Hardware Security, a graduate level course integrating hands-on quantum security learning with classical security concepts through simulations and cloud-based quantum hardware. Unlike conventional courses focused on quantum threats to cryptographic systems, EE 597 explores security challenges specific to quantum computing itself. We employ a mixed-methods evaluation using pre and post surveys to assess student learning outcomes and engagement. Results indicate significant improvements in students' understanding of quantum and hardware security, with strong positive feedback on course structure and remote instruction (mean scores: 3.33 to 3.83 on a 4 point scale).",10.48550/arxiv.2503.09375,0
41a852fada38,Quantum Analysis of Continuous Time Stochastic Process,,,1
